genome,cluster,score
amPh_91.fna,1_1,2.370000481635666
amPh_90.fna,2_0,1.3261941641886115
amPh_10.fna,3_1,2.386896936433472
amPh_9.fna,3_2,1.319355971058456
amPh_37.fna,4_1,2.4393420305828535
amPh_7.fna,4_2,1.2630929126222556
amPh_8.fna,5_0,1.2258401882639476
amPh_104.fna,6_0,1.327141584782251
amPh_83.fna,7_0,1.1785271389723293
amPh_88.fna,8_0,1.1720271742784731
amPh_20.fna,9_0,1.1425017782459028
amPh_79.fna,10_0,1.2041114096105108
amPh_78.fna,11_0,1.4614597977089232
amPh_82.fna,12_0,1.4567137620411674
amPh_76.fna,13_0,1.348831141791041
amPh_84.fna,14_0,1.1596612542096685
amPh_85.fna,15_0,1.1855139971311617
amPh_77.fna,16_0,1.306175405534937
amPh_86.fna,17_0,1.3191674533585573
amPh_80.fna,18_0,1.315707522755065
amPh_81.fna,19_0,1.0400016857918732
amPh_75.fna,20_1,2.4074256477137013
amPh_58.fna,20_2,1.2641646053608444
amPh_24.fna,21_0,1.4233287737378146
amPh_26.fna,22_0,1.5404536998353866
amPh_55.fna,23_0,1.2626284960808902
amPh_57.fna,24_0,1.2312223869705272
amPh_103.fna,25_0,0.907918137582497
amPh_62.fna,26_1,2.1454878287426222
amPh_61.fna,27_1,2.245617562826655
amPh_54.fna,28_1,1.3572429586672372
amPh_60.fna,28_2,1.2560033476205301
amPh_70.fna,29_1,2.3476124515233447
amPh_59.fna,30_0,1.229927223375179
amPh_64.fna,31_1,1.9898059535329253
amPh_5.fna,32_0,1.4267225828699248
amPh_6.fna,33_0,1.0338441752266563
amPh_51.fna,34_1,1.3392049851656178
amPh_52.fna,34_2,1.383315141785994
amPh_14.fna,35_1,1.3510137090101526
amPh_40.fna,35_2,1.282334177646452
amPh_15.fna,36_1,2.1372479596876497
amPh_13.fna,37_1,2.488452272657411
amPh_49.fna,38_0,1.3395314922831834
amPh_47.fna,39_0,1.3027310076769465
amPh_17.fna,40_1,1.1673219038808844
amPh_44.fna,40_2,1.1929248702467212
amPh_46.fna,40_3,1.1821845675258082
amPh_16.fna,41_1,2.102742795093819
amPh_39.fna,42_1,2.445022868104272
amPh_3.fna,42_2,1.1639690486847087
amPh_4.fna,43_0,1.1285015984162625
amPh_110.fna,44_0,1.3304432847618803
amPh_34.fna,45_0,1.3667493770688444
amPh_30.fna,46_1,1.2764143591284214
amPh_33.fna,46_2,1.050801962074899
amPh_105.fna,47_0,1.3463991599177498
amPh_25.fna,48_0,1.3016092539650168
amPh_27.fna,49_0,1.2055164848955207
amPh_107.fna,50_0,1.3275290775219346
amPh_108.fna,51_0,1.299189741975573
amPh_1.fna,52_0,1.2051448118980497
amPh_100.fna,53_0,1.3038537424399201
amPh_101.fna,54_0,1.173175418228128
amPh_102.fna,55_0,1.4068376549735728
amPh_106.fna,56_0,1.342978391327134
amPh_109.fna,57_0,1.3557979339735902
amPh_111.fna,58_0,1.403610448490736
amPh_112.fna,59_0,1.43308368581108
amPh_113.fna,60_0,1.3340480360092999
amPh_114.fna,61_0,1.399232965158762
amPh_18.fna,62_0,1.1653138558553164
amPh_19.fna,63_0,1.297306850598469
amPh_2.fna,64_0,1.1008048086165558
amPh_22.fna,65_0,1.1388836464023229
amPh_23.fna,66_0,1.2777269843893142
amPh_28.fna,67_0,1.0266623481945927
amPh_29.fna,68_0,1.167865198689703
amPh_31.fna,69_0,1.2425527817213278
amPh_32.fna,70_0,1.095146665655055
amPh_35.fna,71_0,1.47109548370862
amPh_36.fna,72_0,1.1940575126440518
amPh_45.fna,73_0,0.909748508305291
amPh_48.fna,74_0,1.223342707513787
amPh_50.fna,75_0,1.3476047684782337
amPh_53.fna,76_0,1.3042446588027177
amPh_56.fna,77_0,1.3192240258551087
amPh_87.fna,78_0,1.161202145541228
amPh_89.fna,79_0,1.3288317839437827
amPh_92.fna,80_0,1.3410032571818495
amPh_93.fna,81_0,1.381308095410431
amPh_94.fna,82_0,0.9609204636002271
amPh_95.fna,83_0,1.5300688374318974
amPh_96.fna,84_0,1.1633386103922778
amPh_97.fna,85_0,1.1553598578405009
amPh_98.fna,86_0,1.188104483302429
amPh_99.fna,87_0,1.40636272202975
