"","Phylum","Class","Order","Family","Genus","Phylum.size","Class.size","Order.size","Family.size","Genus.size","MinNumPhage","MedianNumPhage","SD_NumPhage","MaxNumPhage","Min_PhagePercent","Med_PhagePercent","SD_PhagePercent","Max_PhagePercent","MinPhageLength","MedianPhageLength","SD_PhageLength","MaxPhageLength","Min_BacterialGenome","Median_BacterialGenome","Sd_baclength","Max_BacterialGenome"
"1","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium",28,8,3,3,3,0,4,2.3094010767585,4,0,1.1053717025356,1.18098638151415,2.36039200808389,5242,18847,10527.3814806573,37937,161664,4683883,2612333.60389793,4688830
"2","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",4,4,4,4,4,0,0,0.5,1,0,0,0.320268956296066,0.640537912592132,39374,39374,NA,39374,5660893,5891410.5,272231.996499769,6147021
"3","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",8,3,3,3,3,0,0,0.577350269189626,1,0,0,0.453063043981096,0.784728211207071,37880,37880,NA,37880,4826828,4827149,299152.06431011,5345135
"4","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia",28,11,7,7,5,0,2,1.09544511501033,3,0,0.634953316258461,0.625786421954131,1.73322259829934,7579,24617,10163.9077800377,34550,4761345,5070609,139003.16810886,5076382
"5","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",28,9,9,9,5,0,2,1.14017542509914,3,0,0.545332941621064,0.31254818831284,0.746065420178742,9550,17114.5,6129.13291321514,31233,6081024,6276716,702453.139231864,7787708
"6","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",28,9,9,9,4,0,0.5,0.577350269189626,1,0,0.313065438851635,0.439621696435597,0.86031527575765,36113,40329,5962.32437896497,44545,5177753,5363212.5,278422.390592064,5767644
"7","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium",8,8,8,4,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2848428,3706920.5,461954.851876963,3859991
"8","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",8,5,5,5,5,0,1,1.30384048104053,3,0,0.584687394273578,0.639858485183643,1.46994473131845,6635,17871,32158.111078959,91230,5152741,5392608,1112821.33840334,7804239
"9","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",28,11,2,2,2,1,1.5,0.707106781186548,2,0.269025111809431,0.556060319754712,0.405929083954799,0.843095527699994,15058,17634,9237.19800588901,32189,5597247,5753389.5,220818.841162841,5909532
"10","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",28,11,7,7,2,0,0.5,0.707106781186548,1,0,0.0556376764901382,0.0786835566712801,0.111275352980276,5198,5198,NA,5198,4671295,4691988,29264.3212461865,4712681
"11","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",28,8,5,5,5,0,0,0.447213595499958,1,0,0,0.406560115461387,0.909096055111826,38544,38544,NA,38544,3757838,4066677,202163.139972894,4262143
"12","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",28,11,2,2,2,0,1,1.4142135623731,2,0,0.246365969658666,0.348414095598484,0.492731939317332,10037,11174,1607.96082041821,12311,4216474,4376001.5,225605.954071474,4535529
"13","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",8,8,8,3,3,0,1,0.577350269189626,1,0,0.300689647054414,0.292775296622196,0.585478624848551,19414,34678,21586.5558160629,49942,6456491,8530115,1321420.78060296,8912289
"14","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Unknown Cellulomonadaceae",8,8,8,1,1,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,3639348,3639348,NA,3639348
