"","phage_seq","lowest.tax"
"1","amPh_91","Unclassified"
"2","amPh_101","Unclassified"
"3","janth_43","Unclassified"
"4","amPh_94","Unclassified"
"5","janth_47","Unclassified"
"6","amPh_56","Unclassified"
"7","amPh_97","Unclassified"
"8","amPh_98","Unclassified"
"9","amPh_99","Unclassified"
"10","janth_13","Unclassified"
"11","janth_14","Unclassified"
"12","janth_15","Unclassified"
"13","amPh_112","Unclassified"
"14","amPh_64","Unclassified"
"15","janth_18","Unclassified"
"16","janth_19","Unclassified"
"17","amPh_20","Unclassified"
"18","janth_20","Unclassified"
"19","amPh_23","Unclassified"
"20","janth_22","Unclassified"
"21","janth_23","Unclassified"
"22","janth_24","Unclassified"
"23","amPh_27","Unclassified"
"24","janth_26","Unclassified"
"25","janth_27","Unclassified"
"26","amPh_33","Unclassified"
"27","amPh_77","Unclassified"
"28","janth_3","Unclassified"
"29","amPh_36","Unclassified"
"30","janth_31","Unclassified"
"31","janth_32","Unclassified"
"32","janth_33","Unclassified"
"33","amPh_43","Unclassified"
"34","amPh_84","Unclassified"
"35","amPh_45","Unclassified"
"36","janth_37","Unclassified"
"37","amPh_87","Unclassified"
"38","amPh_48","Unclassified"
"39","amPh_89","Unclassified"
"40","janth_40","Unclassified"
"41","janth_41","Unclassified"
"42","janth_42","Unclassified"
"43","no_phage","Unclassified"
"44","janth_46","Unclassified"
"45","no_phage","Unclassified"
"46","janth_48","Unclassified"
"47","janth_5","Unclassified"
"48","janth_6","Unclassified"
"49","no_phage","Unclassified"
"50","no_phage","Unclassified"
"51","no_phage","Unclassified"
"52","no_phage","Unclassified"
"53","janth_16","Unclassified"
"54","janth_17","Unclassified"
"55","no_phage","Unclassified"
"56","amPh_79","Unclassified"
"57","amPh_67","Unclassified"
"58","janth_2","Unclassified"
"59","janth_21","Unclassified"
"60","no_phage","Unclassified"
"61","no_phage","Unclassified"
"62","no_phage","Unclassified"
"63","amPh_73","Unclassified"
"64","no_phage","Unclassified"
"65","amPh_88","Unclassified"
"66","janth_28","Unclassified"
"67","janth_29","Unclassified"
"68","no_phage","Unclassified"
"69","amPh_83","Unclassified"
"70","janth_30","Unclassified"
"71","amPh_85","Unclassified"
"72","no_phage","Unclassified"
"73","janth_38","Unclassified"
"74","janth_35","Unclassified"
"75","janth_4","Unclassified"
"76","janth_36","Unclassified"
"77","no_phage","Unclassified"
"78","janth_34","Unclassified"
"79","no_phage","Unclassified"
"80","no_phage","Unclassified"
"81","janth_39","Unclassified"
"82","janth_25","Unclassified"
"83","amPh_86","Peduoviridae"
"84","amPh_80","Peduoviridae"
"85","amPh_63","Caudoviricetes"
"86","amPh_58","Caudoviricetes"
"87","amPh_66","Caudoviricetes"
"88","amPh_75","Caudoviricetes"
"89","amPh_35","Caudoviricetes"
"90","amPh_50","Caudoviricetes"
"91","amPh_93","Caudoviricetes"
"92","amPh_71","Peduoviridae"
"93","amPh_61","Peduoviridae"
"94","amPh_68","Peduoviridae"
"95","amPh_106","Caudoviricetes"
"96","amPh_107","Caudoviricetes"
"97","amPh_47","Caudoviricetes"
"98","amPh_100","Caudoviricetes"
"99","amPh_19","Caudoviricetes"
"100","amPh_59","Caudoviricetes"
"101","amPh_32","Peduoviridae"
"102","amPh_31","Simpcentumvirus"
"103","amPh_102","Caudoviricetes"
"104","amPh_42","Caudoviricetes"
"105","amPh_22","Caudoviricetes"
"106","amPh_113","Caudoviricetes"
"107","amPh_54","Caudoviricetes"
"108","amPh_60","Caudoviricetes"
"109","amPh_105","Peduoviridae"
"110","amPh_81","Caudoviricetes"
"111","amPh_72","Caudoviricetes"
"112","amPh_62","Caudoviricetes"
"113","amPh_69","Caudoviricetes"
"114","amPh_109","Caudoviricetes"
"115","amPh_24","Caudoviricetes"
"116","amPh_41","Caudoviricetes"
"117","amPh_40","Caudoviricetes"
"118","amPh_49","Caudoviricetes"
"119","amPh_34","Caudoviricetes"
"120","amPh_110","Caudoviricetes"
"121","amPh_55","Caudoviricetes"
"122","amPh_53","Caudoviricetes"
"123","amPh_114","Caudoviricetes"
"124","amPh_52","Helgolandviridae"
"125","amPh_51","Helgolandviridae"
"126","amPh_96","Helgolandviridae"
"127","amPh_65","Caudoviricetes"
"128","amPh_70","Caudoviricetes"
"129","amPh_74","Caudoviricetes"
"130","amPh_92","Caudoviricetes"
"131","amPh_44","Caudoviricetes"
"132","amPh_46","Caudoviricetes"
"133","amPh_108","Caudoviricetes"
"134","amPh_78","Caudoviricetes"
"135","amPh_82","Caudoviricetes"
"136","amPh_25","Caudoviricetes"
"137","amPh_103","Peduoviridae"
"138","amPh_57","Caudoviricetes"
"139","amPh_95","Caudoviricetes"
"140","amPh_111","Caudoviricetes"
"141","amPh_26","Peduoviridae"
"142","amPh_104","Caudoviricetes"
"143","amPh_90","Caudoviricetes"
"144","amPh_76","Caudoviricetes"
